,IMDB_ID,MOJO_title,FRI_RELEASE_DAYBO,TUE_V_RELEASE,imdb_url
74,tt3361792,Tolkien,2019-05-10,2019-07-23,https://www.imdb.com/title/tt3361792/reviews
75,tt3387520,Scary Stories to Tell in the Dark,2019-08-09,2019-11-05,https://www.imdb.com/title/tt3387520/reviews
76,tt3513498,The Lego Movie 2: The Second Part,2019-02-08,2019-04-16,https://www.imdb.com/title/tt3513498/reviews
77,tt3513548,Richard Jewell,2019-12-13,2020-03-03,https://www.imdb.com/title/tt3513548/reviews
78,tt3606756,Incredibles 2,2018-06-15,2018-10-23,https://www.imdb.com/title/tt3606756/reviews
79,tt3612126,The Grudge,2020-01-03,2020-03-10,https://www.imdb.com/title/tt3612126/reviews
80,tt3721964,Gringo,2018-03-09,2018-05-22,https://www.imdb.com/title/tt3721964/reviews
81,tt3722234,Gosnell: The Trial of America's Biggest Serial Killer,2018-10-12,2019-02-05,https://www.imdb.com/title/tt3722234/reviews
82,tt3741700,Godzilla: King of the Monsters,2019-05-31,2019-08-13,https://www.imdb.com/title/tt3741700/reviews
83,tt3766354,The Equalizer 2,2018-07-20,2018-11-13,https://www.imdb.com/title/tt3766354/reviews
84,tt3778644,Solo: A Star Wars Story,2018-05-25,2018-09-11,https://www.imdb.com/title/tt3778644/reviews
85,tt3794354,Sonic the Hedgehog,2020-02-14,2020-03-31,https://www.imdb.com/title/tt3794354/reviews
86,tt3829266,The Predator,2018-09-14,2018-11-27,https://www.imdb.com/title/tt3829266/reviews
87,tt3861390,Dumbo,2019-03-29,2019-06-25,https://www.imdb.com/title/tt3861390/reviews
88,tt3864056,The Goldfinch,2019-09-13,2019-11-19,https://www.imdb.com/title/tt3864056/reviews
89,tt3920820,Brian Banks,2019-08-09,2019-10-29,https://www.imdb.com/title/tt3920820/reviews
90,tt4064912,Shine,2018-10-05,2019-02-05,https://www.imdb.com/title/tt4064912/reviews
91,tt4073790,The Darkest Minds,2018-08-03,2018-10-02,https://www.imdb.com/title/tt4073790/reviews
92,tt4103724,Forever My Girl,2018-01-19,2018-04-10,https://www.imdb.com/title/tt4103724/reviews
93,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,2019-02-12,https://www.imdb.com/title/tt4123430/reviews
94,tt4126476,After,2019-04-12,2019-06-25,https://www.imdb.com/title/tt4126476/reviews
95,tt4154664,Captain Marvel,2019-03-08,2019-05-28,https://www.imdb.com/title/tt4154664/reviews
96,tt4154756,Avengers: Infinity War,2018-04-27,2018-07-31,https://www.imdb.com/title/tt4154756/reviews
97,tt4154796,Avengers: Endgame,2019-04-26,2019-07-30,https://www.imdb.com/title/tt4154796/reviews
98,tt4154916,Replicas,2019-01-11,2019-04-02,https://www.imdb.com/title/tt4154916/reviews
99,tt4199898,Playmobil: The Movie,2019-12-06,2020-03-03,https://www.imdb.com/title/tt4199898/reviews
100,tt4218572,Widows,2018-11-16,2019-01-22,https://www.imdb.com/title/tt4218572/reviews
101,tt4244998,Alpha,2018-08-17,2018-11-13,https://www.imdb.com/title/tt4244998/reviews
102,tt4426464,Arctic Dogs,2019-11-01,2020-02-04,https://www.imdb.com/title/tt4426464/reviews
103,tt4463894,Shaft,2019-06-14,2019-09-10,https://www.imdb.com/title/tt4463894/reviews
104,tt4468740,Paddington 2,2018-01-12,2018-03-27,https://www.imdb.com/title/tt4468740/reviews
105,tt4477536,Fifty Shades Freed,2018-02-09,2018-05-08,https://www.imdb.com/title/tt4477536/reviews
106,tt4500922,Maze Runner: The Death Cure,2018-01-26,2018-04-10,https://www.imdb.com/title/tt4500922/reviews
107,tt4504044,The Prodigy,2019-02-08,2019-04-23,https://www.imdb.com/title/tt4504044/reviews
108,tt4520988,Frozen II,2019-11-22,2020-02-11,https://www.imdb.com/title/tt4520988/reviews
109,tt4530422,Overlord,2018-11-09,2019-02-19,https://www.imdb.com/title/tt4530422/reviews
110,tt4532826,Robin Hood,2018-11-23,2019-02-05,https://www.imdb.com/title/tt4532826/reviews
