,IMDB_ID,MOJO_title,FRI_RELEASE_DAYBO,TUE_V_RELEASE,imdb_url
111,tt4537896,White Boy Rick,2018-09-14,2018-12-11,https://www.imdb.com/title/tt4537896/reviews
112,tt4558376,Downhill,2020-02-14,2020-03-24,https://www.imdb.com/title/tt4558376/reviews
113,tt4560436,Mile 22,2018-08-17,2018-11-13,https://www.imdb.com/title/tt4560436/reviews
114,tt4575576,Christopher Robin,2018-08-03,2018-11-06,https://www.imdb.com/title/tt4575576/reviews
115,tt4633694,Spider-Man: Into the Spider-Verse,2018-12-14,2019-02-26,https://www.imdb.com/title/tt4633694/reviews
116,tt4648786,Harriet,2019-11-01,2020-01-14,https://www.imdb.com/title/tt4648786/reviews
117,tt4669264,Beirut,2018-04-13,2018-06-19,https://www.imdb.com/title/tt4669264/reviews
118,tt4701182,Bumblebee,2018-12-21,2019-04-02,https://www.imdb.com/title/tt4701182/reviews
119,tt4701724,Early Man,2018-02-16,2018-05-15,https://www.imdb.com/title/tt4701724/reviews
120,tt4761916,Unfriended: Dark Web,2018-07-20,2018-10-16,https://www.imdb.com/title/tt4761916/reviews
121,tt4777008,Maleficent: Mistress of Evil,2019-10-18,2019-12-31,https://www.imdb.com/title/tt4777008/reviews
122,tt4779682,The Meg,2018-08-10,2018-11-13,https://www.imdb.com/title/tt4779682/reviews
123,tt4799066,Midnight Sun,2018-03-23,2018-06-05,https://www.imdb.com/title/tt4799066/reviews
124,tt4807408,The Best of Enemies,2019-04-05,2019-06-18,https://www.imdb.com/title/tt4807408/reviews
125,tt4881806,Jurassic World: Fallen Kingdom,2018-06-22,2018-09-18,https://www.imdb.com/title/tt4881806/reviews
126,tt4912910,Mission: Impossible - Fallout,2018-07-27,2018-12-04,https://www.imdb.com/title/tt4912910/reviews
127,tt4913966,The Curse of la Llorona,2019-04-19,2019-07-16,https://www.imdb.com/title/tt4913966/reviews
128,tt5028340,Mary Poppins Returns,2018-12-21,2019-03-12,https://www.imdb.com/title/tt5028340/reviews
129,tt5033998,Charlie's Angels,2019-11-15,2020-02-18,https://www.imdb.com/title/tt5033998/reviews
130,tt5052474,Sicario: Day of the Soldado,2018-06-29,2018-09-11,https://www.imdb.com/title/tt5052474/reviews
131,tt5093026,Papillon,2018-08-24,2018-11-06,https://www.imdb.com/title/tt5093026/reviews
132,tt5095030,Ant-Man and the Wasp,2018-07-06,2018-10-02,https://www.imdb.com/title/tt5095030/reviews
133,tt5113040,The Secret Life of Pets 2,2019-06-07,2019-08-13,https://www.imdb.com/title/tt5113040/reviews
134,tt5117670,Peter Rabbit,2018-02-09,2018-04-17,https://www.imdb.com/title/tt5117670/reviews
135,tt5125894,Poms,2019-05-10,2019-06-04,https://www.imdb.com/title/tt5125894/reviews
136,tt5164214,Ocean's 8,2018-06-08,2018-08-21,https://www.imdb.com/title/tt5164214/reviews
137,tt5164432,"Love, Simon",2018-03-16,2018-06-12,https://www.imdb.com/title/tt5164432/reviews
138,tt5177088,The Girl in the Spider's Web,2018-11-09,2019-01-22,https://www.imdb.com/title/tt5177088/reviews
139,tt5208252,Operation Finale,2018-08-31,2018-11-20,https://www.imdb.com/title/tt5208252/reviews
140,tt5220122,Hotel Transylvania 3: Summer Vacation,2018-07-13,2018-10-09,https://www.imdb.com/title/tt5220122/reviews
141,tt5270948,Chappaquiddick,2018-04-06,2018-07-03,https://www.imdb.com/title/tt5270948/reviews
142,tt5360952,The Hurricane Heist,2018-03-09,2018-05-29,https://www.imdb.com/title/tt5360952/reviews
143,tt5427194,The Miracle Season,2018-04-06,2018-07-31,https://www.imdb.com/title/tt5427194/reviews
144,tt5463162,Deadpool 2,2018-05-18,2018-08-07,https://www.imdb.com/title/tt5463162/reviews
145,tt5466186,7 Days in Entebbe,2018-03-16,2018-06-19,https://www.imdb.com/title/tt5466186/reviews
146,tt5503686,Hustlers,2019-09-13,2019-11-26,https://www.imdb.com/title/tt5503686/reviews
147,tt5523010,The Nutcracker and the Four Realms,2018-11-02,2019-01-29,https://www.imdb.com/title/tt5523010/reviews
