,IMDB_ID,MOJO_title,FRI_RELEASE_DAYBO,TUE_V_RELEASE,imdb_url
257,tt7690670,SuperFly,2018-06-15,2018-08-28,https://www.imdb.com/title/tt7690670/reviews
258,tt7713068,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020-02-07,2020-03-24,https://www.imdb.com/title/tt7713068/reviews
259,tt7734218,Stuber,2019-07-12,2019-10-01,https://www.imdb.com/title/tt7734218/reviews
260,tt7752126,Brightburn,2019-05-24,2019-08-06,https://www.imdb.com/title/tt7752126/reviews
261,tt7784604,Hereditary,2018-06-08,2018-08-21,https://www.imdb.com/title/tt7784604/reviews
262,tt7798634,Ready or Not,2019-08-23,2019-11-26,https://www.imdb.com/title/tt7798634/reviews
263,tt7798646,The Photograph,2020-02-14,2020-04-28,https://www.imdb.com/title/tt7798646/reviews
264,tt7905466,They Shall Not Grow Old,2018-12-21,2019-05-07,https://www.imdb.com/title/tt7905466/reviews
265,tt7958736,Ma,2019-05-31,2019-08-20,https://www.imdb.com/title/tt7958736/reviews
266,tt7959026,The Mule,2018-12-14,2019-03-19,https://www.imdb.com/title/tt7959026/reviews
267,tt7975244,Jumanji: The Next Level,2019-12-13,2020-03-03,https://www.imdb.com/title/tt7975244/reviews
268,tt8079248,Yesterday,2019-06-28,2019-09-10,https://www.imdb.com/title/tt8079248/reviews
269,tt8080302,Penguins,2019-04-19,2019-08-13,https://www.imdb.com/title/tt8080302/reviews
270,tt8085790,Little,2019-04-12,2019-06-25,https://www.imdb.com/title/tt8085790/reviews
271,tt8097306,Nobody's Fool,2018-11-02,2019-01-29,https://www.imdb.com/title/tt8097306/reviews
272,tt8155288,Happy Death Day 2U,2019-02-15,2019-04-30,https://www.imdb.com/title/tt8155288/reviews
273,tt8186318,Overcomer,2019-08-23,2019-12-17,https://www.imdb.com/title/tt8186318/reviews
274,tt8266310,Blinded by the Light,2019-08-16,2019-10-22,https://www.imdb.com/title/tt8266310/reviews
275,tt8350360,Annabelle Comes Home,2019-06-28,2019-09-17,https://www.imdb.com/title/tt8350360/reviews
276,tt8364368,Crawl,2019-07-12,2019-09-24,https://www.imdb.com/title/tt8364368/reviews
277,tt8367814,The Gentlemen,2020-01-24,2020-03-24,https://www.imdb.com/title/tt8367814/reviews
278,tt8385474,A Dog's Journey,2019-05-17,2019-08-06,https://www.imdb.com/title/tt8385474/reviews
279,tt8564902,Death of a Nation,2018-08-03,2018-10-30,https://www.imdb.com/title/tt8564902/reviews
280,tt8623904,Last Christmas,2019-11-08,2020-02-04,https://www.imdb.com/title/tt8623904/reviews
281,tt8632862,Fahrenheit 11/9,2018-09-21,2018-12-18,https://www.imdb.com/title/tt8632862/reviews
282,tt8663516,Child's Play,2019-06-21,2019-09-10,https://www.imdb.com/title/tt8663516/reviews
283,tt8688634,21 Bridges,2019-11-22,2020-02-18,https://www.imdb.com/title/tt8688634/reviews
284,tt8695030,The Dead Don't Die,2019-06-14,2019-09-03,https://www.imdb.com/title/tt8695030/reviews
285,tt8722346,Queen & Slim,2019-11-29,2020-03-03,https://www.imdb.com/title/tt8722346/reviews
286,tt8772262,Midsommar,2019-07-05,2019-09-24,https://www.imdb.com/title/tt8772262/reviews
287,tt8946378,Knives Out,2019-11-29,2020-02-11,https://www.imdb.com/title/tt8946378/reviews
288,tt9024106,Unplanned,2019-03-29,2019-08-13,https://www.imdb.com/title/tt9024106/reviews
289,tt9086228,Gretel & Hansel,2020-01-31,2020-04-07,https://www.imdb.com/title/tt9086228/reviews
290,tt9134216,Playing with Fire,2019-11-08,2020-02-04,https://www.imdb.com/title/tt9134216/reviews
291,tt9173418,Brahms: The Boy II,2020-02-21,2020-05-19,https://www.imdb.com/title/tt9173418/reviews
292,tt9354944,Jexi,2019-10-11,2019-12-24,https://www.imdb.com/title/tt9354944/reviews
