,IMDB_ID,MOJO_title,FRI_RELEASE_DAYBO,TUE_V_RELEASE,imdb_url
148,tt5563334,The Good Liar,2019-11-15,2020-02-04,https://www.imdb.com/title/tt5563334/reviews
149,tt5606664,Doctor Sleep,2019-11-08,2020-02-04,https://www.imdb.com/title/tt5606664/reviews
150,tt5610554,Tully,2018-05-04,2018-07-17,https://www.imdb.com/title/tt5610554/reviews
151,tt5619332,Life of the Party,2018-05-11,2018-07-24,https://www.imdb.com/title/tt5619332/reviews
152,tt5645932,Beautifully Broken,2018-08-24,2018-12-04,https://www.imdb.com/title/tt5645932/reviews
153,tt5649108,Thoroughbreds,2018-03-09,2018-05-22,https://www.imdb.com/title/tt5649108/reviews
154,tt5664636,Goosebumps 2: Haunted Halloween,2018-10-12,2019-01-15,https://www.imdb.com/title/tt5664636/reviews
155,tt5670152,Traffik,2018-04-20,2018-07-10,https://www.imdb.com/title/tt5670152/reviews
156,tt5690360,Slender Man,2018-08-10,2018-10-30,https://www.imdb.com/title/tt5690360/reviews
157,tt5691024,Show Dogs,2018-05-18,2018-08-07,https://www.imdb.com/title/tt5691024/reviews
158,tt5697572,Cats,2019-12-20,2020-03-17,https://www.imdb.com/title/tt5697572/reviews
159,tt5702446,God Bless the Broken Road,2018-09-07,2018-12-04,https://www.imdb.com/title/tt5702446/reviews
160,tt5709188,A-X-L,2018-08-24,2019-01-01,https://www.imdb.com/title/tt5709188/reviews
161,tt5719748,Cold Pursuit,2019-02-08,2019-05-14,https://www.imdb.com/title/tt5719748/reviews
162,tt5726086,Insidious: The Last Key,2018-01-05,2018-03-20,https://www.imdb.com/title/tt5726086/reviews
163,tt5734576,The Possession of Hannah Grace,2018-11-30,2019-02-19,https://www.imdb.com/title/tt5734576/reviews
164,tt5758778,Skyscraper,2018-07-13,2018-10-09,https://www.imdb.com/title/tt5758778/reviews
165,tt5774060,Underwater,2020-01-10,2020-04-14,https://www.imdb.com/title/tt5774060/reviews
166,tt5814060,The Nun,2018-09-07,2018-11-20,https://www.imdb.com/title/tt5814060/reviews
167,tt5814534,Spies in Disguise,2019-12-27,2020-03-10,https://www.imdb.com/title/tt5814534/reviews
168,tt5822564,The Kitchen,2019-08-09,2019-10-22,https://www.imdb.com/title/tt5822564/reviews
169,tt5834262,Hotel Artemis,2018-06-08,2018-08-21,https://www.imdb.com/title/tt5834262/reviews
170,tt5848272,Ralph Breaks the Internet,2018-11-23,2019-02-26,https://www.imdb.com/title/tt5848272/reviews
171,tt5884052,Pokémon Detective Pikachu,2019-05-10,2019-08-06,https://www.imdb.com/title/tt5884052/reviews
172,tt5886046,Escape Room,2019-01-04,2019-04-09,https://www.imdb.com/title/tt5886046/reviews
173,tt5941692,Miss Bala,2019-02-01,2019-04-16,https://www.imdb.com/title/tt5941692/reviews
174,tt5968394,Captive State,2019-03-15,2019-05-28,https://www.imdb.com/title/tt5968394/reviews
175,tt5989218,Life Itself,2018-09-21,2018-12-18,https://www.imdb.com/title/tt5989218/reviews
176,tt6017942,Kin,2018-08-31,2018-11-06,https://www.imdb.com/title/tt6017942/reviews
177,tt6063050,Tyler Perry's Acrimony,2018-03-30,2018-06-12,https://www.imdb.com/title/tt6063050/reviews
178,tt6095472,The Angry Birds Movie 2,2019-08-16,2019-10-29,https://www.imdb.com/title/tt6095472/reviews
179,tt6105098,The Lion King,2019-07-19,2019-10-08,https://www.imdb.com/title/tt6105098/reviews
180,tt6133466,The First Purge,2018-07-06,2018-09-18,https://www.imdb.com/title/tt6133466/reviews
181,tt6139732,Aladdin,2019-05-24,2019-08-27,https://www.imdb.com/title/tt6139732/reviews
182,tt6146586,John Wick: Chapter 3 - Parabellum,2019-05-17,2019-08-20,https://www.imdb.com/title/tt6146586/reviews
183,tt6182908,Smallfoot,2018-09-28,2018-12-04,https://www.imdb.com/title/tt6182908/reviews
184,tt6189022,Angel Has Fallen,2019-08-23,2019-11-12,https://www.imdb.com/title/tt6189022/reviews
