,IMDB_ID,MOJO_title,FRI_RELEASE_DAYBO,TUE_V_RELEASE,imdb_url
37,tt1727824,Bohemian Rhapsody,2018-11-02,2019-01-22,https://www.imdb.com/title/tt1727824/reviews
38,tt1801552,Gotti,2018-06-15,2018-09-25,https://www.imdb.com/title/tt1801552/reviews
39,tt1825683,Black Panther,2018-02-16,2018-05-08,https://www.imdb.com/title/tt1825683/reviews
40,tt1846589,Hunter Killer,2018-10-26,2019-01-15,https://www.imdb.com/title/tt1846589/reviews
41,tt1946502,UglyDolls,2019-05-03,2019-07-16,https://www.imdb.com/title/tt1946502/reviews
42,tt1950186,Ford v Ferrari,2019-11-15,2020-01-28,https://www.imdb.com/title/tt1950186/reviews
43,tt1979376,Toy Story 4,2019-06-21,2019-10-01,https://www.imdb.com/title/tt1979376/reviews
44,tt1987680,The Upside,2019-01-11,2019-05-14,https://www.imdb.com/title/tt1987680/reviews
45,tt1999890,Hell Fest,2018-09-28,2019-01-08,https://www.imdb.com/title/tt1999890/reviews
46,tt2066051,Rocketman,2019-05-31,2019-08-06,https://www.imdb.com/title/tt2066051/reviews
47,tt2119543,The House with a Clock in Its Walls,2018-09-21,2018-11-27,https://www.imdb.com/title/tt2119543/reviews
48,tt2126357,Second Act,2018-12-21,2019-03-12,https://www.imdb.com/title/tt2126357/reviews
49,tt2139881,Long Shot,2019-05-03,2019-07-16,https://www.imdb.com/title/tt2139881/reviews
50,tt2140507,The Current War: Director's Cut,2019-10-25,2020-03-31,https://www.imdb.com/title/tt2140507/reviews
51,tt2231461,Rampage,2018-04-13,2018-07-17,https://www.imdb.com/title/tt2231461/reviews
52,tt2274648,Hellboy,2019-04-12,2019-07-23,https://www.imdb.com/title/tt2274648/reviews
53,tt2283336,Men in Black: International,2019-06-14,2019-08-20,https://www.imdb.com/title/tt2283336/reviews
54,tt2296777,Sherlock Gnomes,2018-03-23,2018-06-05,https://www.imdb.com/title/tt2296777/reviews
55,tt2365580,"Where'd You Go, Bernadette",2019-08-16,2019-11-19,https://www.imdb.com/title/tt2365580/reviews
56,tt2386490,How to Train Your Dragon: The Hidden World,2019-02-22,2019-04-30,https://www.imdb.com/title/tt2386490/reviews
57,tt2452244,Isn't It Romantic,2019-02-15,2019-04-30,https://www.imdb.com/title/tt2452244/reviews
58,tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019-12-20,2020-03-17,https://www.imdb.com/title/tt2527338/reviews
59,tt2531344,Blockers,2018-04-06,2018-06-19,https://www.imdb.com/title/tt2531344/reviews
60,tt2557478,Pacific Rim: Uprising,2018-03-23,2018-06-19,https://www.imdb.com/title/tt2557478/reviews
61,tt2639336,Greta,2019-03-01,2019-05-14,https://www.imdb.com/title/tt2639336/reviews
62,tt2704998,Game Night,2018-02-23,2018-05-01,https://www.imdb.com/title/tt2704998/reviews
63,tt2709692,The Grinch,2018-11-09,2019-01-22,https://www.imdb.com/title/tt2709692/reviews
64,tt2798920,Annihilation,2018-02-23,2018-05-29,https://www.imdb.com/title/tt2798920/reviews
65,tt2854926,Tag,2018-06-15,2018-08-28,https://www.imdb.com/title/tt2854926/reviews
66,tt2873282,Red Sparrow,2018-03-02,2018-05-15,https://www.imdb.com/title/tt2873282/reviews
67,tt2935510,Ad Astra,2019-09-20,2019-12-03,https://www.imdb.com/title/tt2935510/reviews
68,tt3104988,Crazy Rich Asians,2018-08-17,2018-11-06,https://www.imdb.com/title/tt3104988/reviews
69,tt3201736,Run the Race,2019-02-22,2019-06-18,https://www.imdb.com/title/tt3201736/reviews
70,tt3203528,Bad Samaritan,2018-05-04,2018-07-31,https://www.imdb.com/title/tt3203528/reviews
71,tt3224458,A Beautiful Day in the Neighborhood,2019-11-22,2020-02-04,https://www.imdb.com/title/tt3224458/reviews
72,tt3281548,Little Women,2019-12-27,2020-03-24,https://www.imdb.com/title/tt3281548/reviews
73,tt3289724,Welcome to Marwen,2018-12-21,2019-03-26,https://www.imdb.com/title/tt3289724/reviews
