,IMDB_ID,MOJO_title,FRI_RELEASE_DAYBO,TUE_V_RELEASE,imdb_url
0,tt0385887,Motherless Brooklyn,2019-11-01,2020-01-14,https://www.imdb.com/title/tt0385887/reviews
1,tt0437086,Alita: Battle Angel,2019-02-15,2019-07-09,https://www.imdb.com/title/tt0437086/reviews
2,tt0448115,Shazam!,2019-04-05,2019-07-02,https://www.imdb.com/title/tt0448115/reviews
3,tt0783640,The Last Full Measure,2020-01-24,2020-04-07,https://www.imdb.com/title/tt0783640/reviews
4,tt0837563,Pet Sematary,2019-04-05,2019-06-25,https://www.imdb.com/title/tt0837563/reviews
5,tt0859635,Super Troopers 2,2018-04-20,2018-07-17,https://www.imdb.com/title/tt0859635/reviews
6,tt0983946,Fantasy Island,2020-02-14,2020-04-14,https://www.imdb.com/title/tt0983946/reviews
7,tt10039344,Countdown,2019-10-25,2020-01-07,https://www.imdb.com/title/tt10039344/reviews
8,tt1025100,Gemini Man,2019-10-11,2019-12-24,https://www.imdb.com/title/tt1025100/reviews
9,tt10481868,Black Christmas,2019-12-13,2020-03-03,https://www.imdb.com/title/tt10481868/reviews
10,tt1051906,The Invisible Man,2020-02-28,2020-03-17,https://www.imdb.com/title/tt1051906/reviews
11,tt1072748,Winchester,2018-02-02,2018-04-17,https://www.imdb.com/title/tt1072748/reviews
12,tt1137450,Death Wish,2018-03-02,2018-06-05,https://www.imdb.com/title/tt1137450/reviews
13,tt1206885,Rambo: Last Blood,2019-09-20,2019-12-17,https://www.imdb.com/title/tt1206885/reviews
14,tt1213641,First Man,2018-10-12,2019-01-22,https://www.imdb.com/title/tt1213641/reviews
15,tt1255919,Holmes & Watson,2018-12-28,2019-03-26,https://www.imdb.com/title/tt1255919/reviews
16,tt1259528,Den of Thieves,2018-01-19,2018-04-10,https://www.imdb.com/title/tt1259528/reviews
17,tt1270797,Venom,2018-10-05,2018-12-11,https://www.imdb.com/title/tt1270797/reviews
18,tt1273221,London Fields,2018-10-26,2019-02-12,https://www.imdb.com/title/tt1273221/reviews
19,tt1285009,The Strangers: Prey at Night,2018-03-09,2018-05-22,https://www.imdb.com/title/tt1285009/reviews
20,tt1298644,The Hustle,2019-05-10,2019-07-30,https://www.imdb.com/title/tt1298644/reviews
21,tt1308728,The Happytime Murders,2018-08-24,2018-11-20,https://www.imdb.com/title/tt1308728/reviews
22,tt1365519,Tomb Raider,2018-03-16,2018-06-12,https://www.imdb.com/title/tt1365519/reviews
23,tt1413492,12 Strong,2018-01-19,2018-04-10,https://www.imdb.com/title/tt1413492/reviews
24,tt1477834,Aquaman,2018-12-21,2019-03-05,https://www.imdb.com/title/tt1477834/reviews
25,tt1478839,The Art of Racing in the Rain,2019-08-09,2019-10-29,https://www.imdb.com/title/tt1478839/reviews
26,tt1489887,Booksmart,2019-05-24,2019-08-20,https://www.imdb.com/title/tt1489887/reviews
27,tt1502397,Bad Boys for Life,2020-01-17,2020-03-31,https://www.imdb.com/title/tt1502397/reviews
28,tt1502407,Halloween,2018-10-19,2019-01-15,https://www.imdb.com/title/tt1502407/reviews
29,tt1517451,A Star Is Born,2018-10-05,2019-02-19,https://www.imdb.com/title/tt1517451/reviews
30,tt1560220,Zombieland: Double Tap,2019-10-18,2019-12-24,https://www.imdb.com/title/tt1560220/reviews
31,tt1563742,Overboard,2018-05-04,2018-07-10,https://www.imdb.com/title/tt1563742/reviews
32,tt1571234,Mortal Engines,2018-12-14,2019-02-19,https://www.imdb.com/title/tt1571234/reviews
33,tt1590193,The Commuter,2018-01-12,2018-04-03,https://www.imdb.com/title/tt1590193/reviews
34,tt1620680,A Wrinkle in Time,2018-03-09,2018-05-29,https://www.imdb.com/title/tt1620680/reviews
35,tt1620981,The Addams Family,2019-10-11,2019-12-24,https://www.imdb.com/title/tt1620981/reviews
36,tt1677720,Ready Player One,2018-03-30,2018-07-03,https://www.imdb.com/title/tt1677720/reviews
